cell,method,spearman,oracle_phi_spread
lrsteps_0.001_10,(a)oracle,0.8999999999999998,0.00044605909313780905
lrsteps_0.001_10,Flirds,0.9999999999999999,0.00044605909313780905
lrsteps_0.001_10,Flirds1st,0.9999999999999999,0.00044605909313780905
lrsteps_0.001_10,GTG,0.9999999999999999,0.00044605909313780905
lrsteps_0.001_10,FedSV,0.7,0.00044605909313780905
lrsteps_0.001_10,ComFedSV,0.8999999999999998,0.00044605909313780905
lrsteps_0.001_10,ShapleyFL,0.8999999999999998,0.00044605909313780905
lrsteps_0.001_10,FedIF,0.7,0.00044605909313780905
lrsteps_0.001_10,Banzhaf,0.9999999999999999,0.00044605909313780905
lrsteps_0.001_10,loss-heur,0.9999999999999999,0.00044605909313780905
rank_anchor_16,(a)oracle,0.8999999999999998,0.00044605909313780905
rank_anchor_16,Flirds,0.9999999999999999,0.00044605909313780905
rank_anchor_16,Flirds1st,0.9999999999999999,0.00044605909313780905
rank_anchor_16,GTG,0.9999999999999999,0.00044605909313780905
rank_anchor_16,FedSV,0.7,0.00044605909313780905
rank_anchor_16,ComFedSV,0.8999999999999998,0.00044605909313780905
rank_anchor_16,ShapleyFL,0.8999999999999998,0.00044605909313780905
rank_anchor_16,FedIF,0.7,0.00044605909313780905
rank_anchor_16,Banzhaf,0.9999999999999999,0.00044605909313780905
rank_anchor_16,loss-heur,0.9999999999999999,0.00044605909313780905
lrsteps_0.001_20,Flirds,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,Flirds1st,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,GTG,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,FedSV,0.7999999999999999,0.0006084517829456451
lrsteps_0.001_20,ComFedSV,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,ShapleyFL,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,FedIF,0.8999999999999998,0.0006084517829456451
lrsteps_0.001_20,Banzhaf,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,loss-heur,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_20,Fed-LOO,0.9999999999999999,0.0006084517829456451
lrsteps_0.001_30,Flirds,0.9999999999999999,0.00044234756817737104
lrsteps_0.001_30,Flirds1st,0.9999999999999999,0.00044234756817737104
lrsteps_0.001_30,GTG,0.8999999999999998,0.00044234756817737104
lrsteps_0.001_30,FedSV,0.7999999999999999,0.00044234756817737104
lrsteps_0.001_30,ComFedSV,0.8999999999999998,0.00044234756817737104
lrsteps_0.001_30,ShapleyFL,0.6,0.00044234756817737104
lrsteps_0.001_30,FedIF,0.7,0.00044234756817737104
lrsteps_0.001_30,Banzhaf,0.9999999999999999,0.00044234756817737104
lrsteps_0.001_30,loss-heur,0.9999999999999999,0.00044234756817737104
lrsteps_0.001_30,Fed-LOO,0.9999999999999999,0.00044234756817737104
lrsteps_0.002_10,Flirds,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_10,Flirds1st,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_10,GTG,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_10,FedSV,0.8999999999999998,0.0008230375558055846
lrsteps_0.002_10,ComFedSV,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_10,ShapleyFL,0.7999999999999999,0.0008230375558055846
lrsteps_0.002_10,FedIF,0.7999999999999999,0.0008230375558055846
lrsteps_0.002_10,Banzhaf,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_10,loss-heur,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_10,Fed-LOO,0.9999999999999999,0.0008230375558055846
lrsteps_0.002_20,Flirds,0.9999999999999999,0.0010214429279325626
lrsteps_0.002_20,Flirds1st,0.9999999999999999,0.0010214429279325626
lrsteps_0.002_20,GTG,0.9999999999999999,0.0010214429279325626
lrsteps_0.002_20,FedSV,0.7999999999999999,0.0010214429279325626
lrsteps_0.002_20,ComFedSV,0.9999999999999999,0.0010214429279325626
lrsteps_0.002_20,ShapleyFL,0.7999999999999999,0.0010214429279325626
lrsteps_0.002_20,FedIF,0.7999999999999999,0.0010214429279325626
lrsteps_0.002_20,Banzhaf,0.9999999999999999,0.0010214429279325626
lrsteps_0.002_20,loss-heur,0.8999999999999998,0.0010214429279325626
lrsteps_0.002_20,Fed-LOO,0.9999999999999999,0.0010214429279325626
lrsteps_0.002_30,Flirds,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,Flirds1st,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,GTG,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,FedSV,0.49999999999999994,0.0008323602972142477
lrsteps_0.002_30,ComFedSV,0.6,0.0008323602972142477
lrsteps_0.002_30,ShapleyFL,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,FedIF,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,Banzhaf,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,loss-heur,0.9999999999999999,0.0008323602972142477
lrsteps_0.002_30,Fed-LOO,0.9999999999999999,0.0008323602972142477
lrsteps_0.003_10,Flirds,0.9999999999999999,0.0011249431031525954
lrsteps_0.003_10,Flirds1st,0.9999999999999999,0.0011249431031525954
lrsteps_0.003_10,GTG,0.9999999999999999,0.0011249431031525954
lrsteps_0.003_10,FedSV,0.8999999999999998,0.0011249431031525954
lrsteps_0.003_10,ComFedSV,0.8999999999999998,0.0011249431031525954
