cell,dataset,partition,threat,strength,flip_rate,seed,arm,final_acc,delta_acc,gap,recovery,auroc,rounds_to_target,n_excluded_pairs,false_excl_pairs,excl_precision,excl_clients,false_excl_clients
cifar10_dir1_free-rider_g_seed1,cifar10,dir1,free_rider,main,,1,flirds_zgate_v2,0.58275,-0.008500000000000063,0.026249999999999996,-0.32380952380952627,0.6166666666666667,,,,,,
cifar10_dir1_free-rider_g_seed1,cifar10,dir1,free_rider,main,,1,flirds_gatew_v2,0.614625,0.023374999999999924,0.026249999999999996,0.8904761904761878,0.6833333333333333,76.0,5277.0,1264.0,0.7604699639946939,60.0,20.0
cifar10_dir1_free-rider_g_seed1,cifar10,dir1,free_rider,main,,1,flirds_gatew_v1,0.6145,0.023249999999999993,0.026249999999999996,0.8857142857142856,0.9666666666666667,88.0,596.0,117.0,0.8036912751677853,81.0,41.0
cifar10_dir1_free-rider_g_seed1,cifar10,dir1,free_rider,main,,1,flirds_mult,0.599375,0.008124999999999938,0.026249999999999996,0.3095238095238072,0.43125,,,,,,
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,vanilla,0.58575,0.0,0.03737500000000005,0.0,,,,,,,
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,oracle_excl,0.623125,0.03737500000000005,0.03737500000000005,1.0,,81.0,,,,,
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,random_excl,0.560625,-0.025124999999999953,0.03737500000000005,-0.6722408026755832,,,,,,,
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,flirds_gate_v1,0.60125,0.015499999999999958,0.03737500000000005,0.4147157190635435,1.0,95.0,644.0,154.0,0.7608695652173914,91.0,51.0
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,flirds_gate_v2,0.614875,0.029124999999999956,0.03737500000000005,0.7792642140468206,0.6666666666666667,84.0,5775.0,1803.0,0.6877922077922078,61.0,21.0
cifar10_dir1_free-rider_g_seed2,cifar10,dir1,free_rider,main,,2,flirds_zgate_v2,0.5875,0.0017500000000000293,0.03737500000000005,0.04682274247491711,0.5166666666666666,,,,,,
