dataset,partition,threat,flip_rate,arm,final_acc,delta_acc,gap,recovery,rec_sd,auroc,false_excl_pairs,excl_precision,seeds,n_corrupt
cifar10,dir1,grad_noise,,flirds_gatew_v1,0.4131666666666667,0.1685,0.3747916666666667,0.4502371282311932,0.30790618845843254,0.9194444444444444,175.0,0.7222914222703878,3,40.0
cifar10,dir1,grad_noise,,flirds_gatew_v2,0.5834583333333333,0.33879166666666666,0.3747916666666667,0.9029907042665642,0.04603458521761202,0.9884722222222222,1535.0,0.7252849775547996,3,40.0
cifar10,dir1,grad_noise,,flirds_mult,0.4332916666666667,0.18862500000000001,0.3747916666666667,0.5037217390232351,0.050622598633552736,0.9934722222222222,,,3,40.0
cifar10,dir1,grad_noise,,flirds_zgate_v2,0.35158333333333336,0.10691666666666667,0.3747916666666667,0.286762931099095,0.09361907617261546,0.9983333333333334,,,3,40.0
cifar10,dir1,grad_noise,,oracle_excl,0.6194583333333333,0.3747916666666667,0.3747916666666667,1.0,0.0,,,,3,40.0
cifar10,dir1,grad_noise,,random_excl,0.24808333333333335,0.003416666666666679,0.3747916666666667,0.0073021191882067195,0.09429191798434543,,,,3,40.0
cifar10,dir1,grad_noise,,vanilla,0.24466666666666667,0.0,0.3747916666666667,0.0,0.0,,,,3,40.0
cifar10,dir1,label_flip,0.15,flirds_gate_v1,0.6160833333333333,-0.0022500000000000484,0.004249999999999976,,,0.5446659316892362,232.0,0.4557509671975964,3,44.666666666666664
cifar10,dir1,label_flip,0.15,flirds_gate_v2,0.5974166666666667,-0.020916666666666694,0.004249999999999976,,,0.5046228721983982,1682.0,0.5080765666301791,3,44.666666666666664
cifar10,dir1,label_flip,0.15,flirds_gatew_v1,0.6050416666666666,-0.013291666666666738,0.004249999999999976,,,0.5357373626462016,177.66666666666666,0.4659476289152371,3,44.666666666666664
cifar10,dir1,label_flip,0.15,flirds_gatew_v2,0.598375,-0.019958333333333373,0.004249999999999976,,,0.4590326791272737,1401.3333333333333,0.48425682585896745,3,44.666666666666664
cifar10,dir1,label_flip,0.15,flirds_mult,0.6164999999999999,-0.0018333333333333535,0.004249999999999976,,,0.503840447440687,,,3,44.666666666666664
cifar10,dir1,label_flip,0.15,flirds_zgate_v2,0.6113749999999999,-0.0069583333333334,0.004249999999999976,,,0.5411183339045363,,,3,44.666666666666664
cifar10,dir1,label_flip,0.15,oracle_excl,0.6225833333333334,0.004249999999999976,0.004249999999999976,,,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.15,random_excl,0.5932083333333333,-0.025125000000000026,0.004249999999999976,,,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.15,vanilla,0.6183333333333333,0.0,0.004249999999999976,,,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.35,flirds_gate_v1,0.6005833333333334,0.014500000000000032,0.03650000000000001,0.4145315316978328,0.14943540007605208,0.8122365296136569,166.33333333333334,0.63361884086699,3,44.666666666666664
cifar10,dir1,label_flip,0.35,flirds_gate_v2,0.5777083333333334,-0.008374999999999985,0.03650000000000001,-0.26471481795974616,0.22904874387793409,0.687359452695811,1513.6666666666667,0.648713013730465,3,44.666666666666664
cifar10,dir1,label_flip,0.35,flirds_gatew_v1,0.5902083333333333,0.004124999999999972,0.03650000000000001,0.11204741189235216,0.14578221110638234,0.7492445252819074,136.0,0.6339506172839506,3,44.666666666666664
cifar10,dir1,label_flip,0.35,flirds_gatew_v2,0.5875,0.0014166666666666587,0.03650000000000001,-0.00688983544488192,0.3201386827276627,0.6158246786652489,1016.3333333333334,0.6691995686631652,3,44.666666666666664
cifar10,dir1,label_flip,0.35,flirds_mult,0.601375,0.015291666666666667,0.03650000000000001,0.4120486168796669,0.07874654278313958,0.7692805517475353,,,3,44.666666666666664
cifar10,dir1,label_flip,0.35,flirds_zgate_v2,0.5772083333333333,-0.008875000000000003,0.03650000000000001,-0.23436336674481162,0.056826461537020076,0.9311687832115471,,,3,44.666666666666664
cifar10,dir1,label_flip,0.35,oracle_excl,0.6225833333333334,0.03650000000000001,0.03650000000000001,1.0,0.0,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.35,random_excl,0.560125,-0.025958333333333344,0.03650000000000001,-0.6930778093638285,0.4948298377858528,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.35,vanilla,0.5860833333333333,0.0,0.03650000000000001,0.0,0.0,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.7,flirds_gate_v1,0.590375,0.06508333333333333,0.09729166666666668,0.6575775645584448,0.08488090029175804,0.982021374046188,134.66666666666666,0.7351776111419314,3,44.666666666666664
cifar10,dir1,label_flip,0.7,flirds_gate_v2,0.57675,0.05145833333333333,0.09729166666666668,0.5096709956214484,0.10409900734948173,0.8026607368775033,1440.3333333333333,0.725822208733851,3,44.666666666666664
cifar10,dir1,label_flip,0.7,flirds_gatew_v1,0.5715416666666667,0.046250000000000034,0.09729166666666668,0.5102021930388162,0.18832693588930635,0.9717346351517276,113.66666666666667,0.7402162237567135,3,44.666666666666664
cifar10,dir1,label_flip,0.7,flirds_gatew_v2,0.5840416666666667,0.058750000000000024,0.09729166666666668,0.5925108440638106,0.06804126059404826,0.7284312076087055,1204.3333333333333,0.7294746197259144,3,44.666666666666664
cifar10,dir1,label_flip,0.7,flirds_mult,0.5882083333333333,0.06291666666666672,0.09729166666666668,0.6432400598466196,0.01922357194084165,0.9231047150855592,,,3,44.666666666666664
cifar10,dir1,label_flip,0.7,flirds_zgate_v2,0.5400416666666666,0.014750000000000004,0.09729166666666668,0.1833539529364827,0.18069640892686178,0.9955732450609499,,,3,44.666666666666664
cifar10,dir1,label_flip,0.7,oracle_excl,0.6225833333333334,0.09729166666666668,0.09729166666666668,1.0,0.0,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.7,random_excl,0.5035833333333333,-0.021708333333333347,0.09729166666666668,-0.20861323789967587,0.480804007581567,,,,3,44.666666666666664
cifar10,dir1,label_flip,0.7,vanilla,0.5252916666666666,0.0,0.09729166666666668,0.0,0.0,,,,3,44.666666666666664
cifar10,dir1,label_flip,,flirds_gate_v1,0.589375,0.07450000000000002,0.10770833333333335,0.651829418011601,0.169264074425496,0.9675280164399602,137.0,0.7334334906773087,3,44.666666666666664
cifar10,dir1,label_flip,,flirds_gate_v2,0.553375,0.0385,0.10770833333333335,0.3147294472031564,0.193843589683294,0.7963638316448391,1449.0,0.7175243294687973,3,44.666666666666664
cifar10,dir1,label_flip,,flirds_gatew_v1,0.5476666666666666,0.03279166666666664,0.10770833333333335,0.26909111965352045,0.27194706064625007,0.9522622858501899,111.0,0.7470050665876747,3,44.666666666666664
cifar10,dir1,label_flip,,flirds_gatew_v2,0.57125,0.05637500000000001,0.10770833333333335,0.4479984337010519,0.3248938489232017,0.7256560329038259,1242.0,0.7245001209962451,3,44.666666666666664
cifar10,dir1,label_flip,,flirds_mult,0.5849166666666666,0.07004166666666668,0.10770833333333335,0.6444647579559399,0.0311173507321591,0.9262935804569703,,,3,44.666666666666664
cifar10,dir1,label_flip,,flirds_zgate_v2,0.5530833333333334,0.038208333333333344,0.10770833333333335,0.34377947399015857,0.19850740654280177,0.9979967948717948,,,3,44.666666666666664
cifar10,dir1,label_flip,,oracle_excl,0.6225833333333334,0.10770833333333335,0.10770833333333335,1.0,0.0,,,,3,44.666666666666664
cifar10,dir1,label_flip,,random_excl,0.4928333333333333,-0.022041666666666643,0.10770833333333335,-0.2121744637087286,0.4948545898546096,,,,3,44.666666666666664
cifar10,dir1,label_flip,,vanilla,0.514875,0.0,0.10770833333333335,0.0,0.0,,,,3,44.666666666666664
cifar10,iid,clean,,flirds_gate_v1,0.645875,-0.0020416666666666825,,,,,379.3333333333333,0.0,3,0.0
cifar10,iid,clean,,flirds_gate_v2,0.6400833333333333,-0.007833333333333322,,,,,655.3333333333334,0.0,3,0.0
cifar10,iid,clean,,flirds_gatew_v1,0.6455833333333333,-0.0023333333333333353,,,,,317.6666666666667,0.0,3,0.0
cifar10,iid,clean,,flirds_gatew_v2,0.6429583333333334,-0.004958333333333324,,,,,633.3333333333334,0.0,3,0.0
cifar10,iid,clean,,flirds_mult,0.646,-0.0019166666666666405,,,,,,,3,0.0
cifar10,iid,clean,,flirds_zgate_v2,0.6482083333333334,0.00029166666666669006,,,,,,,3,0.0
