dataset,partition,scenario,method,spearman_b,pearson_b,kendall_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,iid,grad_noise,FedSV,0.9164596459645963,0.9572277577517369,0.7473400673400675,1.0,,,295.79736034494516
cifar10,iid,grad_noise,Flirds,0.86999099909991,0.9574481759195391,0.6921212121212122,1.0,,,10.43837983122406
cifar10,iid,grad_noise,Flirds1st,0.3132153215321532,0.06720308124298337,0.29750841750841756,0.49819444444444444,,,4.235469817960014
cifar10,iid,grad_noise,GTG,0.8786278627862786,0.9400992893283479,0.694949494949495,1.0,,,925.9124024894554
cifar10,iid,grad_noise,ShapleyFL,0.741058105810581,0.9191423625460254,0.518922558922559,1.0,,,1475.8883161207195
cifar10,iid,grad_noise,loss-heur,0.9798259825982597,0.975265832905604,0.8913131313131314,1.0,,,9.160485602682456
cifar10,iid,label_flip@'0.15',(b)oracle,,,,0.7213504476772118,0.38024196876266453,,831.8345932943436
cifar10,iid,label_flip@'0.15',ComFedSV,0.046792679267926775,0.07321546646287264,0.03313131313131314,0.5776458765637843,0.13199878824419561,,24.12982026730121
cifar10,iid,label_flip@'0.15',FedIF,0.6850325032503249,0.6893978363902061,0.5039730639730641,0.5105178857562439,0.019051184620123143,,5.63003685764852
cifar10,iid,label_flip@'0.15',FedSV,0.6280708070807081,0.6944819763393646,0.45562289562289565,0.7658644470239985,0.45677959807538954,,298.98133914799354
cifar10,iid,label_flip@'0.15',Flirds,0.9963796379637962,0.9981612358801693,0.9570370370370371,0.7101391564908998,0.36106605121045093,,11.055371863001104
cifar10,iid,label_flip@'0.15',Flirds1st,0.8117531753175317,0.8376309688169359,0.6294949494949496,0.6508207403244084,0.25994141665604403,,4.338024208351271
cifar10,iid,label_flip@'0.15',GTG,0.8082048204820481,0.8286098792233748,0.6250505050505052,0.8473315595454269,0.5962559154338494,,1348.482980335694
cifar10,iid,label_flip@'0.15',ShapleyFL,0.5724892489248924,0.573798304513942,0.4061952861952863,0.679693299303301,0.3091878414277343,,1475.002060618271
cifar10,iid,label_flip@'0.15',loss-heur,0.9488708870887087,0.9598937888192546,0.8134680134680137,0.7146668422462099,0.36914759153741167,,9.283168024713328
cifar10,iid,label_flip@'0.35',(b)oracle,,,,1.0,0.8582446230028519,,830.3208464803078
cifar10,iid,label_flip@'0.35',ComFedSV,0.2813441344134413,0.2759081492193377,0.18491582491582495,0.6884747865539987,0.3225435817055368,,23.841438169319492
cifar10,iid,label_flip@'0.35',FedIF,0.8506170617061706,0.8891633552052269,0.6531986531986532,0.9724797548813391,0.8115579352408564,,5.5648118453585385
cifar10,iid,label_flip@'0.35',FedSV,0.9169476947694769,0.9518389306606369,0.7542087542087543,0.9992994255289337,0.8570608624396298,,294.4929165093733
cifar10,iid,label_flip@'0.35',Flirds,0.9983838383838383,0.9995455504655223,0.9752188552188553,1.0,0.8582446230028519,,10.902014755372269
cifar10,iid,label_flip@'0.35',Flirds1st,0.9728092809280927,0.9748101231334486,0.862895622895623,0.9976180467983746,0.854219837087897,,4.314277972764103
cifar10,iid,label_flip@'0.35',GTG,0.9432823282328231,0.9700047381356439,0.8029629629629631,1.0,0.8582446230028519,,1025.4628450819484
cifar10,iid,label_flip@'0.35',ShapleyFL,0.8214141414141413,0.8921764128332939,0.6183164983164984,0.9927860041842099,0.8459950515012872,,1471.9454545872577
cifar10,iid,label_flip@'0.35',loss-heur,0.9871667166716671,0.991420188733319,0.9090909090909092,0.9995796553173601,0.8575343666649187,,9.241274359655412
cifar10,iid,label_flip@'0.70',(b)oracle,,,,1.0,0.8582446230028519,,837.0958568619486
cifar10,iid,label_flip@'0.70',ComFedSV,0.4685028502850284,0.5010788515600062,0.3178451178451179,0.7902216984225742,0.49701913223108746,,23.81232451131412
cifar10,iid,label_flip@'0.70',FedIF,0.8425282528252825,0.9553172560069655,0.6323232323232325,1.0,0.8582446230028519,,5.5826360556529835
cifar10,iid,label_flip@'0.70',FedSV,0.9532273227322731,0.985059484535494,0.8242424242424242,1.0,0.8582446230028519,,292.5222619419607
cifar10,iid,label_flip@'0.70',Flirds,0.9981398139813981,0.9995582393514967,0.9726599326599329,1.0,0.8582446230028519,,10.830650504329242
cifar10,iid,label_flip@'0.70',Flirds1st,0.9873667366736673,0.9922626350933998,0.9117845117845119,1.0,0.8582446230028519,,4.27797019132413
cifar10,iid,label_flip@'0.70',GTG,0.9483788378837882,0.9801139875939772,0.8065993265993266,1.0,0.8582446230028519,,655.7124420717204
cifar10,iid,label_flip@'0.70',ShapleyFL,0.7824542454245424,0.95300834097606,0.5606734006734008,1.0,0.8582446230028519,,1461.1655671192955
cifar10,iid,label_flip@'0.70',loss-heur,0.9898789878987898,0.9957007499247544,0.9186531986531987,1.0,0.8582446230028519,,9.352713208956024
cifar10,iid,label_flip_strmain,(b)oracle,,,,1.0,0.8846668129430352,0.7435824397734839,841.3781824281128
cifar10,iid,label_flip_strmain,ComFedSV,0.4686628662866286,0.515442375237129,0.3198653198653199,0.7807050570859916,0.5144280781510578,0.3447108306595137,23.805498378972214
cifar10,iid,label_flip_strmain,FedIF,0.8867846784678467,0.9444983568759279,0.6979124579124582,1.0,0.883050939476925,0.6930887605204061,5.45361608445334
cifar10,iid,label_flip_strmain,FedSV,0.9595799579957994,0.9818049381859009,0.8471380471380473,1.0,0.8894973586583238,0.789652292358816,298.4391652586249
