dataset,scenario,seed,method,spearman_b,pearson_b,spearman_a,pearson_a,stage,partition,threat,flip_rate,cell,n_corrupt,kendall_b,cos_b,euc_b,maxdiff_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,clean,0,(b)oracle,,,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,,,,,,,,824.8089333961252
cifar10,clean,0,Flirds,0.9896669666966695,0.9914321604027577,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.9244444444444447,0.008940841262541022,0.12012274096476018,0.06668150994663669,,,,10.25648188800551
cifar10,clean,0,Flirds1st,0.36236423642364235,0.2219369531706941,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.271919191919192,0.7461560038915802,1.6321212843277282,0.5680097716912854,,,,4.163355617085472
cifar10,clean,0,GTG,0.5778937893789379,0.731681774689654,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.4290909090909092,0.2668217488171013,0.5990725592680469,0.17731774777258863,,,,1263.4090874409303
cifar10,clean,0,FedSV,0.5537473747374737,0.7442364872938276,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.39757575757575764,0.2628934349609544,4.672929392022225,2.455736578977297,,,,289.8325069039129
cifar10,clean,0,ComFedSV,0.22095409540954092,0.24393031202142196,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.15191919191919195,0.7870127003216835,6.894763394079026,2.7861480089793345,,,,22.985818448010832
cifar10,clean,0,ShapleyFL,0.4696669666966696,0.45765751881481687,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.3272727272727273,0.6582374468896239,6.512867893809327,0.9571648637198783,,,,1438.9907652591355
cifar10,clean,0,FedIF,0.5123792379237923,0.4774494599902753,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.3555555555555556,0.689160056638005,4.9733193142214756,0.8244107874593798,,,,5.3447890288662165
cifar10,clean,0,loss-heur,0.7915391539153914,0.8913456918900676,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed0,0,0.6254545454545456,0.22630807850205825,0.6325875800665869,0.14791067621064566,,,,9.034571678144857
cifar10,clean,1,(b)oracle,,,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,,,,,,,,831.3689248170704
cifar10,clean,1,Flirds,0.9826462646264624,0.990013095852577,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.8997979797979799,0.010154373193697386,0.09455146452915977,0.038731522032825705,,,,10.295750715071335
cifar10,clean,1,Flirds1st,0.43420342034203413,0.23833893496185815,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.3127272727272728,0.7281381039785826,1.6147825340776245,0.5614633894336247,,,,4.295264759100974
cifar10,clean,1,GTG,0.6883048304830481,0.7721034815555445,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.5018181818181819,0.23029251493738878,0.5305160168985523,0.21145488768897808,,,,1259.5471418690868
cifar10,clean,1,FedSV,0.6950495049504949,0.7864224882679939,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.5163636363636364,0.22310587075694877,5.998273353695023,2.983064105207958,,,,297.51034151390195
cifar10,clean,1,ComFedSV,0.4565976597659765,0.46131060439795135,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.3151515151515152,0.5361839842898043,5.886824985036324,1.5420608036773784,,,,24.38535351702012
cifar10,clean,1,ShapleyFL,0.5479147914791479,0.5668449271034981,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.3826262626262627,0.6080513142658062,6.339903730816776,0.9496796835302919,,,,1487.3644292519893
cifar10,clean,1,FedIF,0.46670267026702666,0.40962362282013837,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.3191919191919192,0.7044541660201973,5.026548382339914,0.8602181655018533,,,,5.375071662012488
cifar10,clean,1,loss-heur,0.8245304530453045,0.8860777152933538,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed1,0,0.6379797979797981,0.23704463752725669,0.6419580061766964,0.16993168616105636,,,,9.263678458984941
cifar10,clean,2,(b)oracle,,,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,,,,,,,,819.2091157500399
cifar10,clean,2,Flirds,0.9799579957995799,0.9884932546842129,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.9054545454545456,0.011524672388658175,0.08090911427956561,0.03205896510345562,,,,10.75532470003236
cifar10,clean,2,Flirds1st,0.4416321632163216,0.42311182057356994,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.3268686868686869,0.6126187752422301,1.3654719781137332,0.3063255589302761,,,,4.222200803109445
cifar10,clean,2,GTG,0.5807740774077408,0.5977637047005001,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.41858585858585867,0.40383711055636184,0.5262860304200808,0.16800589938203403,,,,1262.2216542399256
cifar10,clean,2,FedSV,0.5971917191719172,0.5336397108162368,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.42707070707070716,0.4752754300659833,4.806077252708314,2.2955678831963304,,,,295.5679210369708
cifar10,clean,2,ComFedSV,0.11492349234923491,0.08339873176901848,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.08363636363636365,0.9270871066997105,6.598553861306044,2.115920372881449,,,,24.247551987995394
cifar10,clean,2,ShapleyFL,0.5136633663366336,0.5147570151660693,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.3628282828282829,0.593253609569671,6.4055222552843025,0.9485761014313525,,,,1477.5514015550725
cifar10,clean,2,FedIF,0.41862586258625856,0.4442020867722058,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.28767676767676775,0.6608456810768011,4.925682876178945,0.8009643113954146,,,,5.513552448013797
cifar10,clean,2,loss-heur,0.8869966996699669,0.8827855425369455,,,c2fid,dir1,clean,,cifar10_dir1_clean_fid_seed2,0,0.7062626262626264,0.23684168055148502,0.5100480134536531,0.10997474141537196,,,,9.200721455970779
cifar10,free_rider,0,(b)oracle,,,,,c2fid,dir1,free_rider,,cifar10_dir1_free-rider_fid_seed0,40,,,,,0.6666666666666667,,,822.6728059930028
