cell,dataset,partition,threat,seed,method,n_neg,n_neg_clean,n_neg_corrupt,n_exact_zero,n_exact_zero_corrupt,phi_clean_mean,phi_corrupt_mean,phi_gap,phi_gap_norm,phi_min,phi_max
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,ComFedSV,8,6,2.0,0,0.0,-11.466548341843817,16.86942231406768,-28.335970655911495,-0.3835084312950198,-24.788833280404408,49.097340643405914
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,Banzhaf,6,6,0.0,0,0.0,-0.475543141985933,0.6395913348533213,-1.1151344768392544,-0.7005505271234802,-0.6482472408097237,0.943550115218386
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,ShapleyFL,10,6,4.0,0,0.0,-0.9891051299980264,-0.07844553332446401,-0.9106595966735623,-0.9610102699250026,-0.9988873987440495,-0.05128087967466402
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,FedIF,10,6,4.0,0,0.0,-0.7185295188500126,-0.006274227385402897,-0.7122552914646096,-0.8767380705832586,-0.816847740670877,-0.0044554021121385404
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,loss-heur,7,6,1.0,0,0.0,-0.7756929397583008,0.34446001052856445,-1.1201529502868652,-0.6384900511592542,-1.036462664604187,0.717915415763855
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,(a)oracle,4,0,4.0,0,0.0,0.6732248204387687,-0.9455128364320786,1.6187376568708474,0.682016206430808,-1.4793623330494718,0.8940968921237529
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,(b)oracle,6,6,0.0,0,0.0,-0.3194117820530973,0.24364409987179067,-0.563055881924888,-0.7984755939513385,-0.42726762919198924,0.277895917684313
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,Flirds,6,6,0.0,0,0.0,-0.3229075084356399,0.23564979406032144,-0.5585573024959614,-0.8029940217161556,-0.4301045150338718,0.2654888360874913
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,Flirds1st,6,6,0.0,0,0.0,-0.2980248357023299,0.21784629115914925,-0.5158711268614792,-0.81062201718453,-0.3961758927476406,0.2402133440673351
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,GTG,5,5,0.0,0,0.0,-0.14401712792623153,0.09855205573189274,-0.24256918365812427,-0.5105411457559778,-0.3421939587026464,0.13292775415938518
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,FedSV,5,5,0.0,0,0.0,-0.49783650173081284,0.5112811197837194,-1.009117621514532,-0.5377974664662223,-1.1065510193506876,0.7698386708895366
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,ComFedSV,5,5,0.0,0,0.0,-0.40653902954525417,0.3227791289488474,-0.7293181584941015,-0.4291902657366998,-0.9781928509473801,0.7210958252350489
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,Banzhaf,6,6,0.0,0,0.0,-0.32092123463129,0.24224209424573928,-0.5631633288770292,-0.7988045662006495,-0.4286403222940862,0.2763673262670636
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,ShapleyFL,10,6,4.0,0,0.0,-0.8371626328124019,-0.179890399112443,-0.6572722336999589,-0.657318249823903,-0.9999940950999999,-6.410095174135565e-05
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,FedIF,10,6,4.0,0,0.0,-0.9008675378417581,-0.0679467533072893,-0.8329207845344688,-0.900173289769172,-0.9555316214650528,-0.030242242185590386
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,loss-heur,6,6,0.0,0,0.0,-0.2784879008928935,0.26087331771850586,-0.5393612186113994,-0.7962829077183269,-0.38366901874542236,0.29367971420288086
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,Ripple,10,6,4.0,0,0.0,-28.90583142087794,-0.7105833578927374,-28.195248062985204,-0.5781299782714923,-49.219759530588775,-0.45002067829110226
cifar10_dir1_label-flip_fr0.70_seed2,cifar10,dir1,label_flip,2,(a)oracle,2,0,2.0,0,0.0,0.2833297006617147,-0.18673827200087295,0.47006797266258765,0.42581496187509404,-0.7150753456357927,0.38885010262141173
cifar10_iid_clean_seed2,cifar10,iid,clean,2,(b)oracle,10,10,,0,,-0.12303224802017214,,,,-0.1399015545845033,-0.10252896689233328
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Flirds,10,10,,0,,-0.13927128449082377,,,,-0.15620892317965632,-0.1174812360666692
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Flirds1st,10,10,,0,,-0.1367764321155846,,,,-0.18204272985458375,-0.11843486167490484
cifar10_iid_clean_seed2,cifar10,iid,clean,2,GTG,10,10,,0,,-0.09256546423973634,,,,-0.16218744669288476,-0.03400127213919658
cifar10_iid_clean_seed2,cifar10,iid,clean,2,FedSV,8,8,,0,,-0.12303221225738528,,,,-0.3722535332043966,0.05584984620412191
cifar10_iid_clean_seed2,cifar10,iid,clean,2,ComFedSV,7,7,,0,,-0.12303221225738525,,,,-0.50246595342954,0.5740793844064077
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Banzhaf,10,10,,0,,-0.13747056126594542,,,,-0.15454119513742626,-0.11715295794419944
cifar10_iid_clean_seed2,cifar10,iid,clean,2,ShapleyFL,10,10,,0,,-0.5691738210132601,,,,-0.9086361192229547,-0.19824722390993535
cifar10_iid_clean_seed2,cifar10,iid,clean,2,FedIF,10,10,,0,,-0.4126343527409987,,,,-0.5922914247013807,-0.2569918932675238
cifar10_iid_clean_seed2,cifar10,iid,clean,2,loss-heur,10,10,,0,,-0.11060670614242554,,,,-0.14857685565948486,-0.08845245838165283
cifar10_iid_clean_seed2,cifar10,iid,clean,2,Ripple,9,9,,0,,-10.248214985894954,,,,-20.487564522443456,1.0882010603402619
cifar10_iid_clean_seed2,cifar10,iid,clean,2,(a)oracle,0,0,,0,,0.12367837829589849,,,,0.09096531856476321,0.1440337192111547
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,(b)oracle,6,6,0.0,4,4.0,-0.1833100120226543,0.0,-0.1833100120226543,-0.9312710339930207,-0.19683851997057614,0.0
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,Flirds,6,6,0.0,4,4.0,-0.18641359340253985,0.0,-0.18641359340253985,-0.9307774417396649,-0.20027730050496761,0.0
cifar10_iid_free-rider_seed2,cifar10,iid,free_rider,2,Flirds1st,6,6,0.0,4,4.0,-0.17638581221302355,0.0,-0.17638581221302355,-0.9313104147992548,-0.18939529657363893,0.0
