cell,dataset,partition,threat,seed,method,runtime,auroc,spearman_a,spearman_b,kendall_a,kendall_b,pearson_a,pearson_b,cos_a,cos_b,euc_a,euc_b,maxdiff_a,maxdiff_b,n_neg,n_exact_zero,phi_min,phi_max,n_neg_clean,phi_clean_mean,n_neg_corrupt,n_exact_zero_corrupt,phi_corrupt_mean,phi_gap,phi_gap_norm
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,(b)oracle,182.0324432789348,,0.6121212121212121,,0.5111111111111111,,0.7279320466177721,,0.1836026174301586,,0.33855284381539724,,0.25259105304687757,,1,0,-0.01883207408208697,0.2089963459306291,1,0.12085723876953128,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Flirds,1.082436952041462,,0.6,0.9878787878787878,0.4666666666666666,0.9555555555555554,0.6890574530667241,0.9941412527755489,0.21242198802893975,0.003550305991266378,0.35916785463218226,0.051633691476416076,0.2858149254874124,0.03322387244053483,0,0,0.014391798358447866,0.2214462593782693,0,0.1350894392421716,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Flirds1st,0.4695066739805043,,0.35757575757575755,0.8909090909090909,0.28888888888888886,0.7777777777777777,0.23194362104290164,0.7564249237770233,0.36006000063856825,0.05233502435704129,0.4676700428038839,0.16829320787128305,0.3982021083672701,0.14561105532039254,0,0,0.05502644793327898,0.22815570018455386,0,0.15025937012264973,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,GTG,139.4691878708545,,0.9757575757575757,0.6121212121212121,0.911111111111111,0.5111111111111111,0.9781076068125542,0.7653666486607049,0.04412719305445223,0.30185626230123674,0.17460583427220308,0.42417287501761874,0.09894658589079175,0.32631175162252224,2,0,-0.3451438257046092,0.3224978762490481,2,0.07689177720800057,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,FedSV,36.00626145885326,,0.9030303030303028,0.43030303030303024,0.7777777777777777,0.37777777777777777,0.9759704915233353,0.7425701895574454,0.13970618928170853,0.5004075196272795,1.8437414514631743,2.136198231566933,1.6164198777335028,1.8690109307803806,2,0,-1.8878430048624675,0.9198357542355856,2,0.12085723876953125,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,ComFedSV,30.671709949849173,,0.6242424242424242,0.34545454545454546,0.5111111111111111,0.28888888888888886,0.9404196036825934,0.6436382991670444,0.17774132080362925,0.5649592640640826,2.223165507579022,2.5180259646353296,1.8124483467397234,2.0650393997866012,2,0,-2.083871473868688,0.9619643489519755,2,0.12180855274200435,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Banzhaf,182.12173223914579,,0.6121212121212121,0.9999999999999999,0.5111111111111111,0.9999999999999999,0.7270008714870209,0.9998424362749331,0.1897686415901857,0.00040542784198482895,0.3415450170653687,0.027732613328706218,0.2619519402265905,0.01043485892374843,1,0,-0.00947118690237403,0.21914233546704054,1,0.12954091969877482,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,ShapleyFL,179.77680542482994,,0.8424242424242423,0.43030303030303024,0.6888888888888888,0.37777777777777777,0.9213323530977087,0.6547454372140792,0.17748227737011668,0.06980777974938124,2.164928230768355,2.2176841747916773,0.8083241090962391,0.8545162513443071,0,0,0.024429974347214087,0.9977092609009662,0,0.7804304615338079,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,FedIF,0.5753653321880847,,0.09090909090909088,0.7454545454545454,0.1111111111111111,0.6,0.3434220793594,0.8158101754673622,0.32801577779576185,0.0405451546871094,1.288666718825298,1.19267314568358,0.6798606555992767,0.5536637607877426,0,0,0.1830935361406159,0.7025841939400321,0,0.46770651912420486,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,loss-heur,0.8801296218298376,,0.5757575757575757,0.9878787878787878,0.4666666666666666,0.9555555555555554,0.7878365614158371,0.984228361797715,0.13927856992496324,0.010199284727322677,0.31877374449984397,0.0788596384011504,0.2179937619708835,0.035759459696118795,1,0,-0.053429365158081055,0.2094566822052002,1,0.09929918050765991,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,Ripple,10039.922773157945,,-0.5030303030303029,-0.07878787878787878,-0.37777777777777777,-0.06666666666666667,-0.49472239215045505,-0.23159063528139134,0.5159198933671018,0.1904372651852223,100.68524988318605,100.61233044166113,52.17427754568093,52.12946047144111,0,0,22.73450643875777,52.2658230399785,0,30.696680589780264,,,,,
cifar10_dir1_clean_seed2,cifar10,dir1,clean,2,(a)oracle,51861.80312823411,,,,,,,,,,,,,,2,0,-0.27142312712896455,0.25700518038310716,2,0.11329732055664057,,,,,
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,(b)oracle,182.40914197312668,1.0,0.7191012094028307,,0.5967623950328607,,0.8720550610952823,,0.06137737909052876,,0.15267797312450695,,0.1397229608899071,,0,4,-0.0,0.2675990064938863,0,0.16670465469360352,0.0,4.0,0.0,0.16670465469360352,0.622964400644784
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,Flirds,1.1497583580203354,1.0,0.7191012094028307,1.0,0.5967623950328607,1.0,0.8689088242542937,0.9999535762762444,0.06276397105300757,2.4584783279046896e-05,0.15529508198526845,0.0057072043568481565,0.1431789462891217,0.0034559853992146145,0,4,-0.0,0.2696264541296102,0,0.1689179135085025,0.0,4.0,0.0,0.1689179135085025,0.6264886509515241
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,Flirds1st,0.47512918896973133,1.0,0.5815340215170718,0.9612903225806451,0.501280411827603,0.8974358974358975,0.8403230865925793,0.9976915260924892,0.07605400182570776,0.0011145782122872205,0.16705269500682646,0.04543324719343928,0.1457390216345802,0.02784628370960554,0,4,-0.0,0.23975272278428075,0,0.15217653544141443,0.0,4.0,0.0,0.15217653544141443,0.63472286643575
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,GTG,137.09062992502004,0.6666666666666667,0.8424242424242423,0.49399126558977063,0.7333333333333333,0.4057984286223453,0.8438781809810318,0.566539346362924,0.17683562173684975,0.3559091912807536,0.26766239797366154,0.3786564076902567,0.18878025291207645,0.32850321380198355,1,0,-0.2079883202701843,0.3510814979810758,1,0.07704039235092897,0.0,0.0,0.027924365308033147,0.04911602704289582,0.08785311858996085
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,FedSV,36.05647996091284,0.2916666666666667,0.32121212121212117,0.050024431958457787,0.24444444444444444,0.02387049580131443,0.5617292615212564,0.19336488931193205,0.3924941350255359,0.6333331865339484,0.7695664356428387,0.8900147521706914,0.5620675507182166,0.7017905116081237,2,0,-0.5812756180763244,0.6079060594240824,2,0.04870850377612642,0.0,0.0,0.17699428598086037,-0.12828578220473394,-0.10787736191360049
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,ComFedSV,30.45357278198935,0.5833333333333334,0.6969696969696969,0.48148515760015625,0.5111111111111111,0.3103164454170876,0.6501260788245288,0.2422505518501458,0.37144403979917207,0.6451392885365883,0.9901791635405764,1.1260449512223605,0.865709445177941,1.0054324060678481,1,0,-0.8849175125360489,0.5636508415142695,1,0.08182399968306227,0.0,0.0,0.13213876634836197,-0.0503147666652997,-0.034734133549594266
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,Banzhaf,182.94821568811312,1.0,0.7191012094028307,1.0,0.5967623950328607,1.0,0.8712740143372404,0.9999922408083569,0.06169480797602267,4.2764186896082634e-06,0.15375110442024367,0.003930295140700166,0.14141607031282932,0.001796296487251936,0,4,-0.0,0.26939530298113823,0,0.1683041180173556,0.0,4.0,0.0,0.1683041180173556,0.6247477819950685
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,ShapleyFL,180.8476259438321,0.0,-0.16883245785979506,-0.5870967741935484,-0.07161148740394328,-0.3333333333333333,0.0033409257187878337,-0.3495331441241877,0.357724587217509,0.45783909643283105,2.141523100215515,2.190111278686355,0.9649346516368027,0.9794333636375738,0,0,0.0013977070450163118,0.9794333636375738,0,0.4760405932714273,0.0,0.0,0.9794333636375738,-0.5033927703661465,-0.5146977689136095
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,FedIF,0.5783147981856018,1.0,0.5690279135274574,0.9483870967741936,0.4535394202249741,0.8461538461538461,0.7375184255676336,0.972482428406822,0.1200557459393159,0.014078332117180903,0.9666830802634918,0.9016728846595977,0.5810883674763947,0.4778576590744012,0,0,0.028695840775006996,0.7454566655682875,0,0.5185175834731703,0.0,0.0,0.028695840775006996,0.48982174269816336,0.6833824139864673
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,loss-heur,0.8938417988829315,1.0,0.6815828854339874,0.9612903225806451,0.5967623950328607,0.8974358974358975,0.8785478395129664,0.9962570379771489,0.058968240509284175,0.0018759160339221204,0.15749558256064727,0.08359421326689655,0.11519359916505366,0.05387334227561957,0,4,-0.0,0.2339707612991333,0,0.13437414169311523,0.0,4.0,0.0,0.13437414169311523,0.5743202310707402
cifar10_dir1_free-rider_seed2,cifar10,dir1,free_rider,2,(a)oracle,51555.918014847906,,,,,,,,,,,,,,1,0,-0.019208067358107858,0.2781295761471703,1,0.151267378537617,0.0,0.0,0.0203347567785354,0.1309326217590816,0.4403499678531533
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,(b)oracle,183.8626717159059,1.0,0.9636363636363635,,0.911111111111111,,0.9715200973027867,,0.0287591605896107,,0.9670883444218754,,0.5366445651512298,,4,0,-0.9517270089614955,0.6570880042182079,0,0.48264575195375575,4.0,0.0,-0.64207226324176,1.1247180151955158,0.6990971652934753
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,Flirds,1.0868062360677868,1.0,0.9393939393939393,0.9393939393939393,0.8222222222222221,0.8222222222222221,0.9828232427136566,0.9937944254658412,0.10133118997801771,0.10200304191838971,1.1577884446801998,1.1454612583925983,0.5182097171955318,0.5843546488221614,4,0,-1.5227923608139156,0.4329782700750232,0,0.27759936508809524,4.0,0.0,-1.1455172567834262,1.4231166218715214,0.7276500625355465
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,Flirds1st,0.47635298292152584,0.08333333333333334,-0.32121212121212117,-0.406060606060606,-0.1111111111111111,-0.19999999999999998,-0.5686453997761801,-0.6248986527566339,1.0986415846325526,1.085878067303838,4.403733950171922,3.8857240868478464,2.7074207186004475,2.1797853945124714,0,0,0.6739844377839564,1.39058785466522,0,0.872601588125378,0.0,0.0,1.2172234459330409,-0.34462185780766286,-0.4809101515416922
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,GTG,106.13168772892095,1.0,0.8181818181818182,0.8787878787878788,0.6444444444444444,0.7333333333333333,0.9457750022155874,0.9654203162128019,0.05453850218379508,0.03588115318457841,1.9273568188997854,1.1035126490529374,1.142804252823022,0.6151689287350457,4,0,-0.34046185263012996,0.2637606703774236,0,0.1942977159774049,4.0,0.0,-0.2885303715966629,0.4828280875740678,0.7990898538021428
cifar10_dir1_grad-noise_seed2,cifar10,dir1,grad_noise,2,FedSV,36.39004515390843,1.0,0.8424242424242423,0.9030303030303028,0.6888888888888888,0.7777777777777777,0.926256370205047,0.9480949604237242,0.07414634034213907,0.053368302737020534,76.03764939602723,76.7476247875136,37.50521235609054,37.338057643364344,4,0,-37.996829179922734,27.565068936347956,0,19.687755599949096,4.0,0.0,-29.44973730345567,49.13749290340476,0.7494824633701409
