rundir,threat,seed,arm,label,final_acc,auroc,rounds_to_target
cifar10_dir1_frac1.0_grad-noise_seed2,grad_noise,2,flirds_cgate,flirds P5h(cgate),0.60725,0.9587500000000001,87.0
cifar10_dir1_frac1.0_grad-noise_seed2,grad_noise,2,flirds_pweight,flirds P5s(pweight),0.61475,0.9945833333333334,66.0
cifar10_dir1_frac1.0_label-flip_fr0.70_anch_seed0,label_flip,0,oracle_excl,oracle_excl(anchor),0.633875,,62.0
cifar10_dir1_frac1.0_label-flip_fr0.70_anch_seed0,label_flip,0,random_excl,random_excl(ctrl),0.553875,,
cifar10_dir1_frac1.0_label-flip_fr0.70_anch_seed1,label_flip,1,oracle_excl,oracle_excl(anchor),0.63,,68.0
cifar10_dir1_frac1.0_label-flip_fr0.70_anch_seed1,label_flip,1,random_excl,random_excl(ctrl),0.523875,,
cifar10_dir1_frac1.0_label-flip_fr0.70_anch_seed2,label_flip,2,oracle_excl,oracle_excl(anchor),0.626375,,68.0
cifar10_dir1_frac1.0_label-flip_fr0.70_anch_seed2,label_flip,2,random_excl,random_excl(ctrl),0.487,,
cifar10_dir1_frac1.0_label-flip_fr0.70_seed0,label_flip,0,observer,vanilla(observer),0.580125,,
cifar10_dir1_frac1.0_label-flip_fr0.70_seed0,label_flip,0,flirds_gate_v2,flirds P1(sign),0.584,0.8503572929802438,73.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed0,label_flip,0,flirds_cgate,flirds P5h(cgate),0.605875,0.48633879781420764,70.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed0,label_flip,0,flirds_pweight,flirds P5s(pweight),0.624375,0.8490962589323245,67.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed1,label_flip,1,observer,vanilla(observer),0.544375,,
cifar10_dir1_frac1.0_label-flip_fr0.70_seed1,label_flip,1,flirds_gate_v2,flirds P1(sign),0.577625,0.8970352564102564,80.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed1,label_flip,1,flirds_cgate,flirds P5h(cgate),0.604125,0.5296474358974359,80.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed1,label_flip,1,flirds_pweight,flirds P5s(pweight),0.621375,0.9791666666666667,74.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed2,label_flip,2,observer,vanilla(observer),0.5405,,
cifar10_dir1_frac1.0_label-flip_fr0.70_seed2,label_flip,2,flirds_gate_v2,flirds P1(sign),0.597,0.900040144520273,75.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed2,label_flip,2,flirds_cgate,flirds P5h(cgate),0.5925,0.5845042151746287,78.0
cifar10_dir1_frac1.0_label-flip_fr0.70_seed2,label_flip,2,flirds_pweight,flirds P5s(pweight),0.620375,0.9598554797270172,73.0
