client,n,phi_exact,phi_t1,phi_t2,phi_closed,phi_flirds2,phi_flirds1,phi_renorm,phi_inrun_2N
0,40,-2.4318695068359378e-06,-1.1856483297378873e-06,-1.1824911346162287e-06,-1.1824898819602636e-06,-1.1824908045632301e-06,-1.185653536595055e-06,5.0942103068033855e-06,-2.2888183593750003e-06
1,40,-5.571047465006511e-06,-5.9235317166894674e-06,-5.921405946598263e-06,-5.921405198113655e-06,-5.921405840592088e-06,-5.923539174546023e-06,-7.005532582600912e-06,-5.6266784667968745e-06
2,40,8.463859558105468e-07,8.233717494476878e-07,8.26522127336804e-07,8.265253251746318e-07,8.265234274773547e-07,8.233597327489407e-07,1.0359287261962891e-05,8.106231689453126e-07
3,40,-6.604194641113281e-06,-5.70516192510695e-06,-5.701387607410027e-06,-5.701385191680952e-06,-5.70139102382683e-06,-5.705200601369143e-06,-6.0121218363444015e-06,-6.9975852966308606e-06
4,40,-1.413424809773763e-05,-1.4313689462142065e-05,-1.430953174494029e-05,-1.4309539359647766e-05,-1.430953964387527e-05,-1.431368582416326e-05,-2.985397974650065e-05,-1.4269351959228514e-05
