threat,seed,method,spearman_b,pearson_b,spearman_a,pearson_a
clean,0,(b)oracle,nan,nan,0.9999999999999999,0.999947070811485
clean,0,Flirds,0.9999999999999999,0.9999999764281731,0.9999999999999999,0.999946814820271
clean,0,Flirds1st,0.9999999999999999,0.9999974986252719,0.9999999999999999,0.9999353107459437
clean,0,GTG,0.9999999999999999,0.9998683540589547,0.9999999999999999,0.9999649868766806
clean,0,FedSV,0.8999999999999998,0.988178445872777,0.8999999999999998,0.9885368302565261
clean,0,Banzhaf,0.9999999999999999,0.9999999991361532,0.9999999999999999,0.9999469802375763
clean,0,ShapleyFL,0.9999999999999999,0.9999245532637127,0.9999999999999999,0.9999595570814827
clean,0,FedIF,0.7999999999999999,0.6971085593816213,0.7999999999999999,0.6944328912303651
clean,0,loss-heur,0.9999999999999999,0.9999945287739276,0.9999999999999999,0.9999152957987314
clean,1,(b)oracle,nan,nan,0.9999999999999999,0.999843097246369
clean,1,Flirds,0.9999999999999999,0.9999999390276659,0.9999999999999999,0.9998472069326361
clean,1,Flirds1st,0.9999999999999999,0.9999950845721683,0.9999999999999999,0.999847484736865
clean,1,GTG,0.9999999999999999,0.9998696316628254,0.9999999999999999,0.9997636545562865
clean,1,FedSV,0.8999999999999998,0.9943315147642289,0.8999999999999998,0.9953875848452471
clean,1,Banzhaf,0.9999999999999999,0.999999994254908,0.9999999999999999,0.9998449792606008
clean,1,ShapleyFL,0.9999999999999999,0.9998604265315516,0.9999999999999999,0.9994820051699562
clean,1,FedIF,0.7999999999999999,0.7927257146338681,0.7999999999999999,0.7942773906125561
clean,1,loss-heur,0.9999999999999999,0.9999935171725035,0.9999999999999999,0.9998648945387972
clean,2,(b)oracle,nan,nan,0.9999999999999999,0.9999924914204608
clean,2,Flirds,0.9999999999999999,0.9999999803284494,0.9999999999999999,0.9999931757888015
clean,2,Flirds1st,0.9999999999999999,0.999999188426088,0.9999999999999999,0.9999914988051377
clean,2,GTG,0.9999999999999999,0.9998809935384871,0.9999999999999999,0.999829830641459
clean,2,FedSV,0.9999999999999999,0.9975928216635239,0.9999999999999999,0.9975240871257146
clean,2,Banzhaf,0.9999999999999999,0.9999999966177231,0.9999999999999999,0.9999922369035377
clean,2,ShapleyFL,0.9999999999999999,0.9998059659764732,0.9999999999999999,0.9998294421055602
clean,2,FedIF,0.9999999999999999,0.8113372476599339,0.9999999999999999,0.8132576843440238
clean,2,loss-heur,0.9999999999999999,0.9999954628826181,0.9999999999999999,0.999997774775538
noisy,0,(b)oracle,nan,nan,0.9999999999999999,0.9996750984749744
noisy,0,Flirds,0.9999999999999999,0.9999999968634612,0.9999999999999999,0.9996736942103093
noisy,0,Flirds1st,0.9999999999999999,0.9999997100563515,0.9999999999999999,0.999656719767256
noisy,0,GTG,0.9999999999999999,0.9998494669022913,0.9999999999999999,0.9993953778067838
noisy,0,FedSV,0.9999999999999999,0.9900430917230759,0.9999999999999999,0.9869599985837785
noisy,0,ComFedSV,0.6,0.7700331389910551,0.6,0.7587140313312498
noisy,0,Banzhaf,0.9999999999999999,0.9999999969127279,0.9999999999999999,0.9996739928032066
noisy,0,ShapleyFL,0.9999999999999999,0.9995538608460849,0.9999999999999999,0.9986822632259336
noisy,0,FedIF,0.8999999999999998,0.7611306319080899,0.8999999999999998,0.748276451678037
noisy,0,loss-heur,0.9999999999999999,0.9999953707213258,0.9999999999999999,0.9996362555530846
noisy,1,(b)oracle,nan,nan,0.9999999999999999,0.9995682003098925
noisy,1,Flirds,0.9999999999999999,0.9999999677373818,0.9999999999999999,0.9995654530244398
noisy,1,Flirds1st,0.9999999999999999,0.9999991643695917,0.9999999999999999,0.9995333170454795
noisy,1,GTG,0.9999999999999999,0.9998269672606895,0.9999999999999999,0.9994501025628318
noisy,1,FedSV,0.9999999999999999,0.9945232777572683,0.9999999999999999,0.9943371884969673
noisy,1,ComFedSV,0.8999999999999998,0.992522443669604,0.8999999999999998,0.9887471722743842
noisy,1,Banzhaf,0.9999999999999999,0.9999999924511428,0.9999999999999999,0.99956748053843
noisy,1,ShapleyFL,0.9999999999999999,0.9996965869385912,0.9999999999999999,0.9988969350385526
noisy,1,FedIF,0.8999999999999998,0.8304177106930108,0.8999999999999998,0.8213222019186049
noisy,1,loss-heur,0.9999999999999999,0.9999930806931757,0.9999999999999999,0.9995333314436303
noisy,2,(b)oracle,nan,nan,0.9999999999999999,0.9997370054494709
noisy,2,Flirds,0.9999999999999999,0.9999999936681399,0.9999999999999999,0.9997350304851439
noisy,2,Flirds1st,0.9999999999999999,0.9999996139105977,0.9999999999999999,0.9997275436600128
noisy,2,GTG,0.9999999999999999,0.9999025171391059,0.9999999999999999,0.9998003162677077
noisy,2,FedSV,0.9999999999999999,0.9964730437805446,0.9999999999999999,0.9947577740375764
noisy,2,ComFedSV,0.9999999999999999,0.9500783052619207,0.9999999999999999,0.9498184262250049
noisy,2,Banzhaf,0.9999999999999999,0.9999999992385973,0.9999999999999999,0.9997362794821146
noisy,2,ShapleyFL,0.9999999999999999,0.9993750613435569,0.9999999999999999,0.9986764030665013
noisy,2,FedIF,0.9999999999999999,0.8499131300387335,0.9999999999999999,0.8418239341684438
noisy,2,loss-heur,0.9999999999999999,0.9999944154096363,0.9999999999999999,0.9996992194714531
frzero,0,(b)oracle,nan,nan,0.9999999999999999,0.9997762024785597
