client,n,phi_exact,phi_t1,phi_t2,phi_closed,phi_flirds2,phi_flirds1,phi_renorm,phi_inrun_2N
0,200,-0.0017873207728068034,-0.0017828526615630835,-0.0017894562091367305,-0.001789456617800056,-0.0017894565141205018,-0.0017828526906669142,-0.00022401809692382827,-0.001787400245666504
1,200,-0.002640322844187419,-0.0026430299039930105,-0.0026429952409534607,-0.002642995036024942,-0.0026429946840721644,-0.0026430295314639808,-0.0024355888366699215,-0.002640779813130697
2,200,-0.002764201164245606,-0.0027661746134981513,-0.0027662225316604783,-0.0027662224959303927,-0.0027662219414651195,-0.0027661742176860573,-0.002765599886576335,-0.0027641415596008304
3,200,-0.004859066009521485,-0.004870260949246585,-0.004861267545189563,-0.004861267567456196,-0.004861267287357407,-0.0048702608328312635,-0.008096122741699218,-0.004859364032745362
4,200,-0.0018422166506449381,-0.0018408611649647355,-0.0018437454570050527,-0.0018437452667336984,-0.001843745643714101,-0.0018408616306260232,-0.00037155946095784507,-0.0018421570460001627
