client,n,phi_exact,phi_t1,phi_t2,phi_closed,phi_flirds2,phi_flirds1,phi_renorm,phi_inrun_2N
0,200,-0.002513249715169271,-0.0024975803680717945,-0.002515835341303063,-0.002515836081927958,-0.002515835992403481,-0.002497580437920988,-0.0011534214019775389,-0.0025136907895406085
1,200,-0.003286898136138916,-0.0032830632699187845,-0.003289534704456809,-0.003289534326266441,-0.0032895343981778073,-0.0032830633223056797,-0.0031583627065022786,-0.0032872398694356285
2,200,-0.00318904717763265,-0.003188621369190514,-0.003192409774562588,-0.003192409706788135,-0.0031924097695309682,-0.003188621485605836,-0.002907784779866537,-0.0031894286473592125
3,200,-0.005555947621663412,-0.005564408493228257,-0.005558973052114613,-0.005558973071948969,-0.005558972533481211,-0.005564408516511321,-0.008911343415578206,-0.0055560111999511715
4,200,-0.002370893955230713,-0.002365367006859742,-0.002373603409676406,-0.0023736030951819753,-0.0023736028717166848,-0.0023653668584302065,-0.0007856011390686036,-0.0023710966110229497
