dataset,scenario,seed,method,spearman_a
mnist,feature-noise,0,loss-heur,-0.006060606060606061
mnist,feature-noise,0,Ripple,0.09090909090909088
mnist,feature-noise,1,(b)oracle,0.34545454545454546
mnist,feature-noise,1,Flirds,0.17575757575757575
mnist,feature-noise,1,Flirds1st,0.406060606060606
mnist,feature-noise,1,GTG,0.32121212121212117
mnist,feature-noise,1,FedSV,-0.5393939393939393
mnist,feature-noise,1,ComFedSV,-0.24848484848484845
mnist,feature-noise,1,Banzhaf,0.3939393939393939
mnist,feature-noise,1,ShapleyFL,0.6
mnist,feature-noise,1,FedIF,0.6848484848484848
mnist,feature-noise,1,loss-heur,0.43030303030303024
mnist,feature-noise,1,Ripple,0.28484848484848485
mnist,feature-noise,2,(b)oracle,0.5393939393939393
mnist,feature-noise,2,Flirds,0.5515151515151515
mnist,feature-noise,2,Flirds1st,0.9151515151515152
mnist,feature-noise,2,GTG,0.8060606060606059
mnist,feature-noise,2,FedSV,0.5030303030303029
mnist,feature-noise,2,ComFedSV,0.29696969696969694
mnist,feature-noise,2,Banzhaf,0.4424242424242424
mnist,feature-noise,2,ShapleyFL,0.6969696969696969
mnist,feature-noise,2,FedIF,0.8424242424242423
mnist,feature-noise,2,loss-heur,0.8909090909090909
mnist,feature-noise,2,Ripple,-0.0303030303030303
mnist,quantity-skew,0,(b)oracle,0.41818181818181815
mnist,quantity-skew,0,Flirds,0.709090909090909
mnist,quantity-skew,0,Flirds1st,0.49090909090909085
mnist,quantity-skew,0,GTG,0.05454545454545454
mnist,quantity-skew,0,FedSV,0.32121212121212117
mnist,quantity-skew,0,ComFedSV,0.2727272727272727
mnist,quantity-skew,0,Banzhaf,0.41818181818181815
mnist,quantity-skew,0,ShapleyFL,-0.07878787878787878
mnist,quantity-skew,0,FedIF,0.1515151515151515
mnist,quantity-skew,0,loss-heur,0.6969696969696969
mnist,quantity-skew,0,Ripple,0.34545454545454546
mnist,quantity-skew,1,(b)oracle,0.9515151515151514
mnist,quantity-skew,1,Flirds,0.9636363636363635
mnist,quantity-skew,1,Flirds1st,0.9515151515151514
mnist,quantity-skew,1,GTG,0.8181818181818182
mnist,quantity-skew,1,FedSV,0.8545454545454544
mnist,quantity-skew,1,ComFedSV,0.7454545454545454
mnist,quantity-skew,1,Banzhaf,0.9636363636363635
mnist,quantity-skew,1,ShapleyFL,0.7575757575757575
mnist,quantity-skew,1,FedIF,-0.17575757575757575
mnist,quantity-skew,1,loss-heur,0.9515151515151514
mnist,quantity-skew,1,Ripple,0.9393939393939393
mnist,quantity-skew,2,(b)oracle,0.8545454545454544
mnist,quantity-skew,2,Flirds,0.8666666666666665
mnist,quantity-skew,2,Flirds1st,0.8787878787878788
mnist,quantity-skew,2,GTG,0.8060606060606059
mnist,quantity-skew,2,FedSV,0.8787878787878788
mnist,quantity-skew,2,ComFedSV,0.9272727272727272
mnist,quantity-skew,2,Banzhaf,0.8545454545454544
mnist,quantity-skew,2,ShapleyFL,0.8545454545454544
mnist,quantity-skew,2,FedIF,-0.2606060606060606
mnist,quantity-skew,2,loss-heur,0.8787878787878788
mnist,quantity-skew,2,Ripple,0.9272727272727272
cifar10,iid,0,(b)oracle,-0.13939393939393938
cifar10,iid,0,Flirds,-0.05454545454545454
cifar10,iid,0,Flirds1st,0.22424242424242422
cifar10,iid,0,GTG,-0.309090909090909
cifar10,iid,0,FedSV,-0.16363636363636364
cifar10,iid,0,ComFedSV,0.4545454545454545
cifar10,iid,0,Banzhaf,-0.006060606060606061
cifar10,iid,0,ShapleyFL,0.32121212121212117
cifar10,iid,0,FedIF,0.22424242424242422
cifar10,iid,0,loss-heur,0.05454545454545454
cifar10,iid,0,Ripple,-0.2606060606060606
cifar10,iid,1,(b)oracle,-0.11515151515151514
cifar10,iid,1,Flirds,-0.16363636363636364
cifar10,iid,1,Flirds1st,-0.38181818181818183
cifar10,iid,1,GTG,0.05454545454545454
cifar10,iid,1,FedSV,0.32121212121212117
cifar10,iid,1,ComFedSV,0.18787878787878787
cifar10,iid,1,Banzhaf,-0.09090909090909088
cifar10,iid,1,ShapleyFL,0.19999999999999998
cifar10,iid,1,FedIF,0.07878787878787878
cifar10,iid,1,loss-heur,-0.33333333333333326
cifar10,iid,1,Ripple,-0.35757575757575755
cifar10,iid,2,(b)oracle,-0.5636363636363636
cifar10,iid,2,Flirds,-0.4787878787878787
cifar10,iid,2,Flirds1st,-0.23636363636363633
cifar10,iid,2,GTG,-0.33333333333333326
cifar10,iid,2,FedSV,-0.6848484848484848
cifar10,iid,2,ComFedSV,0.24848484848484845
cifar10,iid,2,Banzhaf,-0.5393939393939393
cifar10,iid,2,ShapleyFL,-0.5151515151515151
cifar10,iid,2,FedIF,-0.10303030303030303
cifar10,iid,2,loss-heur,-0.24848484848484845
cifar10,iid,2,Ripple,0.01818181818181818
cifar10,label-flip,0,(b)oracle,0.5878787878787878
cifar10,label-flip,0,Flirds,0.5878787878787878
cifar10,label-flip,0,Flirds1st,0.6969696969696969
cifar10,label-flip,0,GTG,0.3696969696969697
cifar10,label-flip,0,FedSV,0.38181818181818183
cifar10,label-flip,0,ComFedSV,0.309090909090909
cifar10,label-flip,0,Banzhaf,0.5878787878787878
cifar10,label-flip,0,ShapleyFL,0.28484848484848485
cifar10,label-flip,0,FedIF,0.5515151515151515
cifar10,label-flip,0,loss-heur,0.6969696969696969
cifar10,label-flip,0,Ripple,-0.5515151515151515
cifar10,label-flip,1,(b)oracle,0.309090909090909
