threat,arm,gsm8k_em,delta_em,recovery_em,final_val_loss,rounds_to_target,kept,skipped
clean,flirds_gate_v2,0.3672922252010724,-0.009830205540661274,,0.6019015312194824,194.0,,
clean,observer,0.3771224307417337,0.0,,0.6021878719329834,200.0,,
clean,t2_sign_fedif,0.3771224307417337,0.0,,0.6021878719329834,,50.0,equals_vanilla
clean,t2_sign_flirds,0.3771224307417337,0.0,,0.6021878719329834,,50.0,equals_vanilla
clean,t2_sign_flirds1st,0.3771224307417337,0.0,,0.6021878719329834,,50.0,equals_vanilla
clean,t2_sign_lossheur,0.3771224307417337,0.0,,0.6021878719329834,,50.0,equals_vanilla
frzero,flirds_gate_v2,0.3646112600536193,0.00446827524575516,0.5000000000000031,0.6026270389556885,122.0,,
frzero,observer,0.36014298480786416,0.0,0.0,0.6102885603904724,200.0,,
frzero,oracle_excl,0.36907953529937443,0.008936550491510264,1.0,0.6026618480682373,123.0,,
frzero,random_excl,0.3574620196604111,-0.002680965147453085,-0.3000000000000006,0.6091704368591309,189.0,,
frzero,t2_random_k30,0.35656836461126007,-0.0035746201966040947,-0.39999999999999875,0.6127822995185852,,30.0,
frzero,t2_sign_fedif,0.36907953529937443,0.008936550491510264,1.0,0.6026618480682373,,30.0,
frzero,t2_sign_flirds,0.36907953529937443,0.008936550491510264,1.0,0.6026618480682373,,30.0,
frzero,t2_sign_flirds1st,0.36907953529937443,0.008936550491510264,1.0,0.6026618480682373,,30.0,
frzero,t2_sign_lossheur,0.36907953529937443,0.008936550491510264,1.0,0.6026618480682373,,30.0,
gnoise,oracle_excl,0.3735478105451296,,,0.6023850440979004,,,
noisy,flirds_gate_v2,0.3529937444146559,0.01876675603217154,0.5249999999999987,0.604167103767395,146.0,,
noisy,observer,0.3342269883824844,0.0,0.0,0.6088231801986694,200.0,,
noisy,oracle_excl,0.3699731903485255,0.03574620196604111,1.0,0.6022597551345825,131.0,,
noisy,random_excl,0.32529043789097406,-0.00893655049151032,-0.25000000000000117,0.6078638434410095,197.0,,
noisy,t2_random_k37,0.3109919571045576,-0.023235031277926754,-0.6500000000000008,0.6148808598518372,,37.0,
noisy,t2_sign_fedif,0.34316353887399464,0.008936550491510264,0.2499999999999996,0.6030221581459045,,34.0,
noisy,t2_sign_flirds,0.3583556747095621,0.02412868632707771,0.6749999999999988,0.6046182513237,,37.0,
noisy,t2_sign_flirds1st,0.34316353887399464,0.008936550491510264,0.2499999999999996,0.6050406098365784,,38.0,
noisy,t2_sign_lossheur,0.354781054512958,0.020554066130473614,0.5749999999999993,0.6040038466453552,,36.0,
