dataset,partition,threat,flip_rate,seed,source,clean_false_fire,corrupt_fire
cifar10,dir1,free_rider,,2,shapleyfl,0.7014084507042253,0.0
cifar10,dir1,free_rider,,2,comfedsv,0.6464788732394366,0.0
cifar10,dir1,free_rider,,2,fedif,0.18450704225352113,1.0
cifar10,dir1,free_rider,,2,fedsv,0.652112676056338,0.0
cifar10,dir1,free_rider,,2,flirds,0.4014084507042254,1.0
cifar10,dir1,free_rider,,2,flirds1st,0.18450704225352113,1.0
cifar10,dir1,free_rider,,2,gtg,0.7183098591549296,0.0
cifar10,dir1,free_rider,,2,lossheur,0.36619718309859156,1.0
cifar10,dir1,free_rider,,2,shapleyfl,0.7014084507042253,0.0
cifar10,dir1,grad_noise,,0,comfedsv,0.0125,0.8708333333333333
cifar10,dir1,grad_noise,,0,fedif,0.005555555555555556,0.16041666666666668
cifar10,dir1,grad_noise,,0,fedsv,0.016666666666666666,0.86875
cifar10,dir1,grad_noise,,0,flirds,0.4527777777777778,0.9458333333333333
cifar10,dir1,grad_noise,,0,flirds1st,0.005555555555555556,0.16041666666666668
cifar10,dir1,grad_noise,,0,gtg,0.002777777777777778,0.9875
cifar10,dir1,grad_noise,,0,lossheur,0.029166666666666667,0.6833333333333333
cifar10,dir1,grad_noise,,0,shapleyfl,0.001388888888888889,0.9895833333333334
cifar10,dir1,grad_noise,,0,comfedsv,0.011111111111111112,0.8625
cifar10,dir1,grad_noise,,0,fedif,0.008333333333333333,0.17708333333333334
cifar10,dir1,grad_noise,,0,fedsv,0.011111111111111112,0.8625
cifar10,dir1,grad_noise,,0,flirds,0.40555555555555556,0.9520833333333333
cifar10,dir1,grad_noise,,0,flirds1st,0.008333333333333333,0.17708333333333334
cifar10,dir1,grad_noise,,0,gtg,0.001388888888888889,0.9958333333333333
cifar10,dir1,grad_noise,,0,lossheur,0.022222222222222223,0.675
cifar10,dir1,grad_noise,,0,shapleyfl,0.001388888888888889,0.99375
cifar10,dir1,grad_noise,,1,comfedsv,0.006934812760055479,0.8810020876826722
cifar10,dir1,grad_noise,,1,fedif,0.006934812760055479,0.1315240083507307
cifar10,dir1,grad_noise,,1,fedsv,0.0027739251040221915,0.8768267223382046
cifar10,dir1,grad_noise,,1,flirds,0.44105409153952846,0.9665970772442589
cifar10,dir1,grad_noise,,1,flirds1st,0.006934812760055479,0.1315240083507307
cifar10,dir1,grad_noise,,1,gtg,0.0013869625520110957,0.9853862212943633
cifar10,dir1,grad_noise,,1,lossheur,0.026352288488210817,0.6263048016701461
cifar10,dir1,grad_noise,,1,shapleyfl,0.0013869625520110957,0.9874739039665971
cifar10,dir1,grad_noise,,1,comfedsv,0.006934812760055479,0.8810020876826722
cifar10,dir1,grad_noise,,1,fedif,0.011095700416088766,0.12317327766179541
cifar10,dir1,grad_noise,,1,fedsv,0.008321775312066574,0.8768267223382046
