dataset,partition,ttag,timing,policy,acc,rec,dacc,seeds
cifar10,iid,frrand,online,P3,0.6259166666666667,0.6573031843154225,0.017208333333333343,3
cifar10,iid,frrand,online,P4,0.6083333333333333,-0.0426848756281674,-0.0003750000000000142,3
cifar10,iid,grad_noise,online,P1,0.6143333333333333,0.9443728164676829,0.3579583333333334,3
cifar10,iid,grad_noise,online,P1v1,0.5795833333333333,0.8523399768585437,0.3232083333333333,3
cifar10,iid,grad_noise,online,P2,0.6184583333333333,0.9548076755991879,0.3620833333333333,3
cifar10,iid,grad_noise,online,P3,0.5329166666666666,0.7294663908130204,0.2765416666666667,3
cifar10,iid,grad_noise,online,P4,0.319125,0.16500905949318245,0.06275000000000001,3
cifar10,iid,lf@0.7,online,P1,0.5967083333333333,0.699464339154527,0.0795833333333333,3
cifar10,iid,lf@0.7,online,P1v1,0.588125,0.606463829920743,0.071,3
cifar10,iid,lf@0.7,online,P2,0.6031666666666667,0.7596044669376147,0.08604166666666668,3
cifar10,iid,lf@0.7,online,P3,0.607625,0.7999667549982138,0.09049999999999996,3
cifar10,iid,lf@0.7,online,P4,0.5415416666666667,0.24565542329957737,0.024416666666666642,3
cifar10,iid,strmain,online,P1,0.6095833333333333,0.8227230297873104,0.09966666666666667,3
cifar10,iid,strmain,online,P1v1,0.5904166666666667,0.6627376063932907,0.08050000000000003,3
cifar10,iid,strmain,online,P2,0.5830000000000001,0.574107483275108,0.07308333333333333,3
cifar10,iid,strmain,online,P3,0.6015416666666668,0.7630687145292331,0.09162500000000001,3
cifar10,iid,strmain,online,P4,0.5597500000000001,0.3973307003362361,0.04983333333333334,3
cifar10,qskew,clean,online,P1,0.644875,,-0.02100000000000002,3
cifar10,qskew,clean,online,P1v1,0.6578750000000001,,-0.008000000000000007,3
cifar10,qskew,clean,online,P2,0.6557083333333332,,-0.010166666666666732,3
cifar10,qskew,clean,online,P3,0.663625,,-0.0022500000000000484,3
cifar10,qskew,clean,online,P4,0.6634166666666667,,-0.00245833333333334,3
cifar10,qskew,free_rider,online,P1,0.6339583333333333,0.25713666969130744,0.004458333333333305,3
cifar10,qskew,free_rider,online,P1v1,0.6442083333333333,0.850671563764239,0.014708333333333287,3
cifar10,qskew,free_rider,online,P2,0.633125,0.20099560901193025,0.0036249999999999525,3
cifar10,qskew,free_rider,online,P3,0.6382916666666666,0.5093754909036946,0.008791666666666642,3
cifar10,qskew,free_rider,online,P4,0.6245833333333334,-0.32067383750250417,-0.00491666666666668,3
