dataset,partition,threat,flip_rate,seed,arm,source,policy,timing,final_acc,delta_acc,recovery,auroc,rounds_to_target,kept,skipped,dedup_shared
cifar10,dir1,clean,,0,t2_csign_fedif,fedif,P5h,retrain,0.638875,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,0,t2_csign_fedsv,fedsv,P5h,retrain,0.647875,0.009000000000000008,,,72.0,87.0,,False
cifar10,dir1,clean,,0,t2_csign_flirds,flirds,P5h,retrain,0.632,-0.0068749999999999645,,,75.0,90.0,,False
cifar10,dir1,clean,,0,t2_csign_flirds1st,flirds1st,P5h,retrain,0.638875,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,0,t2_csign_gtg,gtg,P5h,retrain,0.638625,-0.00024999999999997247,,,67.0,75.0,,False
cifar10,dir1,clean,,0,t2_csign_lossheur,lossheur,P5h,retrain,0.638875,0.0,,,75.0,97.0,,False
cifar10,dir1,clean,,0,t2_csign_shapleyfl,shapleyfl,P5h,retrain,0.6355,-0.003375000000000017,,,71.0,76.0,,False
cifar10,dir1,clean,,0,t2_pw_comfedsv,comfedsv,P5s,retrain,0.634375,-0.0044999999999999485,,,77.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_fedif,fedif,P5s,retrain,0.643125,0.004249999999999976,,,72.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_fedsv,fedsv,P5s,retrain,0.633,-0.005874999999999964,,,77.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_flirds,flirds,P5s,retrain,0.637,-0.00187499999999996,,,80.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_flirds1st,flirds1st,P5s,retrain,0.64275,0.003875000000000073,,,65.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_gtg,gtg,P5s,retrain,0.63425,-0.00462499999999999,,,81.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_lossheur,lossheur,P5s,retrain,0.63825,-0.0006249999999999867,,,76.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_shapleyfl,shapleyfl,P5s,retrain,0.627625,-0.011249999999999982,,,81.0,100.0,,False
cifar10,dir1,clean,,0,t2_random_k52,,,,0.612625,-0.026249999999999996,,,88.0,52.0,,False
cifar10,dir1,clean,,0,t2_random_k54,,,,0.616375,-0.022499999999999964,,,84.0,54.0,,False
cifar10,dir1,clean,,0,t2_random_k58,,,,0.621625,-0.017249999999999988,,,83.0,58.0,,False
cifar10,dir1,clean,,0,t2_random_k75,,,,0.6275,-0.011375000000000024,,,77.0,75.0,,False
