client,n,phi_exact,phi_t1,phi_t2,phi_closed,phi_flirds2,phi_flirds1,phi_renorm,phi_inrun_2N
0,200,-0.002901879946390788,-0.002883718319935724,-0.0029044876273319753,-0.002904488355188972,-0.0029044886091469384,-0.0028837189776822927,-0.0014368494351704915,-0.0029021739959716793
1,200,-0.003823467095692953,-0.003812837618170306,-0.0038263872359851625,-0.0038263868005019575,-0.00382638645901352,-0.003812837437726557,-0.003833651542663574,-0.003823383649190267
2,200,-0.0036377191543579095,-0.0036277153994888067,-0.003640438924550904,-0.003640438708747862,-0.0036404385355581327,-0.0036277153994888067,-0.003359655539194743,-0.0036376555760701495
3,200,-0.006125199794769286,-0.006124125386122614,-0.006129027648720253,-0.006129027985338098,-0.006129028212603771,-0.006124126492068172,-0.00966004530588786,-0.006125394503275554
4,200,-0.0026886940002441404,-0.0026771536213345826,-0.0026912421412328413,-0.002691241728044247,-0.0026912417569974426,-0.0026771538890898233,-0.000886996587117513,-0.002689067522684733
