seed,resid1_median,resid1_max,resid2_median,resid2_max,slope_r1,slope_r2,ulp
0,1.7526763258501887e-06,1.5450699720531702e-05,6.380346722067998e-07,2.3907109181209307e-06,2.719457683405077,1.634898108148426,2.384185791015625e-07
1,1.548600266687572e-06,1.3071097782813013e-05,4.513389448845828e-07,2.1574339115204566e-06,2.263125835203348,1.5648101837353459,2.384185791015625e-07
2,1.2765958672389388e-06,1.0038173059001565e-05,4.4110909414030175e-07,1.3721050198256535e-06,1.81819651081126,1.465643692279669,2.384185791015625e-07
