method,runtime_mean,n_seeds,pct_of_train
Flirds,107.23333333333333,3,26.158724995934296
Flirds1st,35.1,3,8.562367864693444
FedIF,35.6,3,8.684338916897055
GTG,538.2,3,131.28964059196616
FedSV,533.2666666666667,3,130.08619287689055
ShapleyFL,531.6,3,129.6796227028785
Banzhaf,533.6666666666666,3,130.18376971865342
loss-heur,164.76666666666668,3,40.19352740282972
Ripple,3536.0,3,862.5792811839322
FLDetector,3.966666666666667,3,0.967637014148642
(b)oracle,533.3333333333334,3,130.10245568385102
